"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Corsa 1.4 16V Color Edition","15 000","134 000 km","Benzyna","Manualna","2011","Lubelskie"
"Opel Astra 1.6 Cosmo","21 500","115 155 km","Benzyna","Manualna","2010","Kujawsko-pomorskie"
"Opel Astra IV 1.4 T Sport","20 900","166 000 km","Benzyna","Manualna","2012","Dolnośląskie"
"Opel Crossland 1.2 Edition","57 500","23 000 km","Benzyna","Manualna","2022","Mazowieckie"
"Opel Astra","40 900","138 000 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Astra II 1.4 Start","2 500","169 000 km","Benzyna","Manualna","2006","Śląskie"
"Opel Astra IV 1.6 Enjoy","29 900","104 310 km","Benzyna","Manualna","2015","Małopolskie"
"Opel Meriva 1.3 CDTI Cosmo ecoFLEX","10 800","203 891 km","Diesel","Manualna","2011","Wielkopolskie"
"Opel Insignia 2.0 CDTI Sports Tourer Edition","24 999","240 254 km","Diesel","Manualna","2013","Zachodniopomorskie"
"Opel Astra","11 685","259 217 km","Diesel","Manualna","2010","Dolnośląskie"
"Opel Astra IV 2.0 CDTI Sport","14 999","265 000 km","Diesel","Manualna","2012","Śląskie"
"Opel Meriva 1.4 T Cosmo","25 900","215 200 km","Benzyna+LPG","Manualna","2014","Świętokrzyskie"
"Opel Astra IV 1.6 CDTI Cosmo","20 500","286 600 km","Diesel","Manualna","2015","Mazowieckie"
"Opel Astra V 1.2 T 2020 S&S","42 900","54 600 km","Benzyna","Manualna","2020","Małopolskie"
"Opel Meriva 1.4 T Edition 150","18 900","172 200 km","Benzyna","Manualna","2011","Lubelskie"
"Opel Mokka","84 700","31 355 km","Benzyna","Automatyczna","2023","Małopolskie"
"Opel Astra IV 1.6 Enjoy","22 900","53 289 km","Benzyna","Manualna","2010","Pomorskie"
"Opel Insignia 2.0 CDTI Sports Tourer ecoFLEXStart/Stop Edition","23 800","259 000 km","Diesel","Manualna","2013","Podkarpackie"
"Opel Meriva","25 500","190 000 km","Benzyna","Manualna","2016","Podkarpackie"
"Opel Astra IV 1.7 CDTI Cosmo","17 500","352 000 km","Diesel","Manualna","2011","Pomorskie"
"Opel Astra 1.6 Turbo Edition Sport","28 300","103 000 km","Benzyna","Manualna","2011","Pomorskie"
"Opel Mokka X 1.4 T Ultimate S&S","52 100","141 000 km","Benzyna+LPG","Manualna","2019","Podlaskie"
"Opel Corsa 1.2 16V Cosmo","18 500","130 321 km","Benzyna","Manualna","2013","Podlaskie"
"Opel Corsa 1.2 16V Color Edition","18 500","151 000 km","Benzyna","Manualna","2011","Małopolskie"
"Opel Mokka 1.6 ecoFLEX Start/Stop Edition","35 900","152 610 km","Benzyna","Manualna","2015","Mazowieckie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop 4x4 Innovation","46 999","123 000 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Vectra 1.8 Comfort","3 500","330 000 km","Benzyna+LPG","Manualna","2005","Dolnośląskie"
"Opel Mokka","106 990","5 km","Benzyna","Automatyczna","2025","Lubuskie"
"Opel Insignia 2.8 Turbo 4x4 OPC","34 900","192 600 km","Benzyna","Manualna","2011","Mazowieckie"
"Opel Astra","22 999","149 665 km","Benzyna","Manualna","2011","Mazowieckie"
"Opel Astra","53 700","55 000 km","Benzyna","Manualna","2021","Lubuskie"
"Opel Mokka 1.6 CDTI Enjoy S&S","31 900","189 000 km","Diesel","Manualna","2015","Wielkopolskie"
"Opel Astra III 1.7 CDTI","19 000","250 000 km","Diesel","Manualna","2013","Mazowieckie"
"Opel Mokka","103 990","5 km","Benzyna","Automatyczna","2025","Lubuskie"
"Opel Astra 1.4 Turbo Innovation","26 500","171 000 km","Benzyna","Manualna","2011","Małopolskie"
"Opel Astra","19 500","220 000 km","Benzyna","Manualna","2011","Podkarpackie"
"Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Innovation","49 800","134 712 km","Benzyna","Manualna","2017","Dolnośląskie"
"Opel Mokka X 1.6 D (CDTI ecoFLEX) Start/Stop 4x4 Edition","36 900","220 100 km","Diesel","Manualna","2016","Mazowieckie"
"Opel Signum 1.9 CDTI Cosmo","11 000","285 000 km","Diesel","Manualna","2008","Łódzkie"
"Opel Meriva 1.4 Automatik Color Edition","34 800","100 300 km","Benzyna","Automatyczna","2017","Pomorskie"
"Opel Mokka X 1.4 T Enjoy S&S","57 900","101 342 km","Benzyna","Manualna","2017","Wielkopolskie"
"Opel Adam 1.4 Germany's next Topmodel","25 990","124 000 km","Benzyna","Manualna","2015","Małopolskie"
"Opel Insignia 1.6 Edition","17 800","237 971 km","Benzyna","Manualna","2009","Śląskie"
"Opel Agila","10 900","218 773 km","Benzyna","Manualna","2010","Mazowieckie"
"Opel Zafira","11 999","219 000 km","Benzyna","Manualna","2010","Wielkopolskie"
"Opel Astra","26 400","131 000 km","Benzyna","Manualna","2012","Małopolskie"
"Opel Insignia 1.5 T GPF Exclusive S&S","58 999","164 000 km","Benzyna","Automatyczna","2018","Opolskie"
"Opel Astra 1.4 Turbo Start/Stop Automatik Sports Tourer Business","46 800","113 251 km","Benzyna","Automatyczna","2019","Wielkopolskie"
"Opel Astra 1.6 ECOTEC DI Turbo Sports Tourer ecoFLEX St Exklusiv","26 999","135 500 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Mokka X 1.4 T Ultimate S&S 4x4","62 000","50 226 km","Benzyna","Automatyczna","2017","Kujawsko-pomorskie"
"Opel Frontera","122 990","5 km","Benzyna","Automatyczna","2025","Lubuskie"
"Opel Insignia 2.0 CDTI ecoFLEX Start/Stop Business Edition","32 000","248 000 km","Diesel","Manualna","2014","Wielkopolskie"
"Opel Mokka 1.6 CDTI Cosmo S&S","36 200","129 000 km","Diesel","Manualna","2016","Wielkopolskie"
"Opel Frontera","119 900","5 km","Benzyna","Automatyczna","2025","Lubuskie"
"Opel Zafira 1.6 D (CDTi ecoFLEX) Start/Stop Business Edition","35 900","163 000 km","Diesel","Manualna","2015","Śląskie"
"Opel Insignia 2.0 CDTI Sports Tourer ecoFLEXStart/Stop Innovation","29 900","202 189 km","Diesel","Manualna","2015","Mazowieckie"
"Opel Adam 1.4 Jam","25 700","157 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Astra IV 1.4 T Business","24 900","129 004 km","Benzyna","Manualna","2013","Mazowieckie"
"Opel Insignia 1.8 Sports Tourer Edition","19 990","128 677 km","Benzyna","Manualna","2009","Kujawsko-pomorskie"
"Opel Meriva","10 000","219 000 km","Benzyna+LPG","Manualna","2008","Kujawsko-pomorskie"
"Opel Astra IV 1.4 T Cosmo","22 500","190 000 km","Benzyna","Manualna","2010","Kujawsko-pomorskie"
"Opel Astra V 1.6 T Dynamic S&S","39 900","167 000 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Astra 1.4 Turbo Start/Stop 120 Jahre","48 500","103 238 km","Benzyna","Manualna","2019","Opolskie"
"Opel Corsa 1.4 16V Active","17 900","96 000 km","Benzyna","Manualna","2013","Świętokrzyskie"
"Opel Mokka X","66 900","67 000 km","Benzyna","Automatyczna","2017","Podlaskie"
"Opel Astra 1.4 Turbo Start/Stop Automatik Active","28 900","200 000 km","Benzyna","Automatyczna","2019","Lubelskie"
"Opel Mokka X 1.4 T Color Edition S&S","48 000","145 000 km","Benzyna+LPG","Manualna","2018","Łódzkie"
"Opel Combo","45 900","147 000 km","Benzyna","Manualna","2020","Lubelskie"
"Opel Corsa 1.2 S&S","48 800","33 661 km","Benzyna","Manualna","2023","Małopolskie"
"Opel Grandland X 1.5 CDTI Enjoy S&S","64 900","68 633 km","Diesel","Automatyczna","2020","Małopolskie"
"Opel Meriva 1.4 Design Edition","19 900","184 643 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Astra 1.6 Caravan Edition","12 900","178 000 km","Benzyna","Manualna","2008","Lubuskie"
"Opel Corsa 1.4 16V Innovation","10 999","166 000 km","Benzyna","Manualna","2006","Śląskie"
"Opel Astra V 1.5 CDTI Business Elegance S&S","45 500","86 000 km","Diesel","Manualna","2020","Pomorskie"
"Opel Astra 1.4 Turbo Active","25 999","139 900 km","Benzyna","Manualna","2013","Lubuskie"
"Opel Insignia 2.0 CDTI Cosmo","10 900","341 121 km","Diesel","Manualna","2009","Lubuskie"
"Opel Mokka","120 990","5 km","Benzyna","Automatyczna","2025","Lubuskie"
"Opel Insignia 1.5 T Innovation S&S","57 900","130 354 km","Benzyna","Automatyczna","2017","Wielkopolskie"
"Opel Adam","16 999","177 200 km","Benzyna","Manualna","2012","Wielkopolskie"
"Opel Grandland 1.5 CDTI Business Elegance S&S","72 900","170 800 km","Diesel","Automatyczna","2022","Zachodniopomorskie"
"Opel Grandland X 1.6 CDTI Enjoy S&S","54 000","106 000 km","Diesel","Manualna","2018","Łódzkie"
"Opel Meriva 1.4 T Cosmo","29 900","130 029 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Insignia Grand Sport 2.0 Diesel Ultimate Exclusive","73 900","162 000 km","Diesel","Automatyczna","2019","Dolnośląskie"
"Opel Astra 1.4 Turbo Cosmo","27 900","162 254 km","Benzyna","Manualna","2014","Mazowieckie"
"Opel Astra","7 000","247 000 km","Diesel","Manualna","2006","Mazowieckie"
"Opel Mokka 1.7 CDTI Cosmo S&S","29 800","182 000 km","Diesel","Manualna","2013","Wielkopolskie"
"Opel Mokka","33 900","166 000 km","Benzyna","Manualna","2013","Łódzkie"
"Opel Astra 1.4 Turbo Sports Tourer Edition","33 900","203 234 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Corsa","15 500","153 000 km","Benzyna","Manualna","2011","Małopolskie"
"Opel Vivaro DTI L1H1","20 900","253 160 km","Diesel","Manualna","2006","Wielkopolskie"
"Opel Vectra","3 999","303 960 km","Diesel","Manualna","2006","Mazowieckie"
"Opel Astra 1.4 Turbo ecoFLEX Start/Stop Active","25 900","107 454 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Mokka X 1.4 T Elite S&S","47 999","66 000 km","Benzyna","Manualna","2015","Opolskie"
"Opel Zafira 2.0 CDTI Elite","32 900","168 118 km","Diesel","Automatyczna","2018","Wielkopolskie"
"Opel Corsa 1.4 Enjoy","24 000","81 553 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Insignia","23 900","178 000 km","Benzyna","Manualna","2009","Wielkopolskie"
"Opel Adam 1.4 Slam S&S","19 900","198 000 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Insignia","39 999","205 000 km","Benzyna","Manualna","2014","Warmińsko-mazurskie"
"Opel Astra","17 990","179 890 km","Benzyna","Manualna","2012","Śląskie"
"Opel Astra 1.4 Turbo Automatik Cosmo","21 000","198 000 km","Benzyna","Automatyczna","2011","Małopolskie"
"Opel Astra IV 2.0 CDTI Sport","12 900","245 000 km","Diesel","Automatyczna","2012","Kujawsko-pomorskie"
"Opel Astra 1.6 Automatik Active","22 900","132 000 km","Benzyna","Automatyczna","2010","Mazowieckie"
"Opel Mokka X","48 000","161 000 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Mokka 1.7 CDTI ecoFLEX Start/Stop Edition","15 900","226 783 km","Diesel","Manualna","2012","Świętokrzyskie"
"Opel Astra IV 1.4 Cosmo","12 900","174 000 km","Benzyna","Manualna","2011","Kujawsko-pomorskie"
"Opel Zafira","9 200","160 460 km","Benzyna","Automatyczna","2006","Mazowieckie"
"Opel Vivaro 1.9 CDTI L1H1","10 000","359 000 km","Diesel","Manualna","2003","Mazowieckie"
"Opel Mokka X 1.6 CDTI Elite S&S","44 890","105 000 km","Diesel","Manualna","2017","Wielkopolskie"
"Opel Astra 1.2 Turbo Start/Stop Sports Tourer","45 999","78 000 km","Benzyna","Manualna","2020","Wielkopolskie"
"Opel Astra","29 900","199 000 km","Diesel","Manualna","2016","Dolnośląskie"
"Opel Astra","19 900","231 000 km","Benzyna","Manualna","2013","Łódzkie"
"Opel Vivaro L1H1 Tour Cosmo","29 900","215 543 km","Diesel","Manualna","2008","Mazowieckie"
"Opel Meriva 1.8 Cosmo MTA","10 900","142 000 km","Benzyna","Automatyczna","2009","Łódzkie"
"Opel Grandland X 1.5 CDTI Elegance S&S","52 900","150 000 km","Diesel","Manualna","2018","Śląskie"
"Opel Crossland X 1.2 Start/Stop Automatik Edition","43 700","76 890 km","Benzyna","Automatyczna","2018","Pomorskie"
"Opel Adam 1.4 White Link","31 777","133 000 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Corsa 1.4 16V Selection","23 900","50 000 km","Benzyna","Manualna","2013","Kujawsko-pomorskie"
"Opel Combo","67 899","58 000 km","Diesel","Manualna","2022","Mazowieckie"
"Opel Grandland X","79 899","89 000 km","Benzyna","Automatyczna","2021","Mazowieckie"
"Opel Astra IV 1.3 CDTI Enjoy ecoFLEX","13 900","240 000 km","Diesel","Manualna","2012","Łódzkie"
"Opel Mokka 1.6 Cosmo S&S","36 999","189 000 km","Benzyna","Manualna","2016","Małopolskie"
"Opel Insignia","54 899","78 000 km","Diesel","Manualna","2019","Mazowieckie"
"Opel Astra IV 1.4 T Cosmo","16 900","220 000 km","Benzyna","Manualna","2012","Świętokrzyskie"
"Opel Grandland X 1.2 Start/Stop Edition","46 900","139 000 km","Benzyna","Manualna","2018","Zachodniopomorskie"
"Opel Astra","8 500","292 000 km","Diesel","Manualna","2006","Mazowieckie"
"Opel Corsa 1.3 CDTI Enjoy","24 999","139 072 km","Diesel","Manualna","2017","Małopolskie"
"Opel Corsa 1.4 Enjoy","19 900","123 916 km","Benzyna","Manualna","2019","Łódzkie"
"Opel Vivaro","79 000","207 764 km","Diesel","Manualna","2019","Dolnośląskie"
"Opel Corsa","13 900","170 000 km","Diesel","Manualna","2013","Świętokrzyskie"
"Opel Corsa Corsa-e Elegance","55 999","48 000 km","Elektryczny","Automatyczna","2021","Dolnośląskie"
"Opel Combo Life XL 1.5 CDTI Elegance S&S","115 000","175 547 km","Diesel","Manualna","2019","Dolnośląskie"
"Opel Corsa 1.2 16V EcoFLEX Edition 111 Jahre","15 900","164 140 km","Benzyna","Manualna","2010","Mazowieckie"
"Opel Astra","17 000","173 320 km","Benzyna","Manualna","2012","Dolnośląskie"
"Opel Astra 1.6","16 900","177 332 km","Benzyna","Manualna","2010","Pomorskie"
"Opel Astra 1.4 Turbo Cosmo","5 900","76 431 km","Benzyna","Manualna","2011","Śląskie"
"Opel Combo Tour 1.3 CDTI Arizona","14 900","193 000 km","Diesel","Manualna","2008","Podkarpackie"
"Opel Zafira","28 300","239 000 km","Diesel","Manualna","2015","Lubelskie"
"Opel Zafira 2.0 CDTI Cosmo EcoFLEX S&S","28 500","215 000 km","Diesel","Manualna","2013","Śląskie"
"Opel Astra","38 899","122 000 km","Diesel","Manualna","2021","Mazowieckie"
"Opel Crossland X 1.2 Start/Stop Innovation","32 900","126 000 km","Benzyna","Manualna","2017","Zachodniopomorskie"
"Opel Mokka","46 800","88 800 km","Benzyna","Manualna","2016","Małopolskie"
"Opel Mokka X 1.4 T Enjoy S&S","44 900","163 000 km","Benzyna","Manualna","2017","Zachodniopomorskie"
"Opel Insignia 2.0 CDTI Cosmo","19 400","202 500 km","Diesel","Manualna","2009","Małopolskie"
"Opel Corsa 1.4 (ecoFLEX) Start/Stop Color Edition","34 999","121 800 km","Benzyna","Manualna","2018","Opolskie"
"Opel Astra GTC 1.4 Turbo","26 400","157 477 km","Benzyna","Manualna","2013","Wielkopolskie"
"Opel Insignia 2.0 CDTI Business Edition S&S","64 999","170 000 km","Diesel","Automatyczna","2022","Opolskie"
"Opel Meriva 1.6 CDTI ecoflex Start/Stop Edition","24 900","279 000 km","Diesel","Manualna","2014","Podkarpackie"
"Opel Crossland X","37 899","150 000 km","Diesel","Manualna","2020","Mazowieckie"
"Opel Insignia 2.0 CDTI Cosmo","28 900","261 000 km","Diesel","Manualna","2015","Kujawsko-pomorskie"
"Opel Meriva 1.4 Automatik Style","36 400","67 258 km","Benzyna","Automatyczna","2016","Wielkopolskie"
"Opel Astra 1.4 Turbo Sports Tourer","24 499","185 444 km","Benzyna","Manualna","2012","Opolskie"
"Opel Mokka 1.4 T Cosmo S&S 4x4","41 900","99 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Corsa","23 900","133 400 km","Benzyna","Manualna","2015","Lubelskie"
"Opel Corsa 1.4 T Color Edition S&S","16 999","121 000 km","Benzyna","Manualna","2012","Małopolskie"
"Opel Insignia","35 000","258 500 km","Diesel","Automatyczna","2017","Lubelskie"
"Opel Insignia 1.5 T Innovation S&S","49 999","250 000 km","Benzyna","Automatyczna","2017","Mazowieckie"
"Opel Combo Life 1.5 CDTI Elegance S&S","42 900","161 000 km","Diesel","Manualna","2018","Mazowieckie"
"Opel Mokka 1.2 T GS Line Plus S&S","29 000","30 000 km","Benzyna","Automatyczna","2021","Śląskie"
"Opel Corsa 1.2 Direct Inj Turbo Start/Stop Automatik Ultimate","72 999","7 000 km","Benzyna","Automatyczna","2025","Małopolskie"
"Opel Insignia Country Tourer 2.0 Diesel","28 999","287 390 km","Diesel","Manualna","2019","Lubuskie"
"Opel Antara 3.2 V6 4x4 Cosmo","20 900","160 000 km","Benzyna+LPG","Automatyczna","2007","Świętokrzyskie"
"Opel Astra IV 1.4 T Active EU6","37 900","86 000 km","Benzyna","Manualna","2018","Warmińsko-mazurskie"
"Opel Astra 1.4 Turbo Sports Tourer 150 Jahre","19 900","209 700 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Astra III 1.7 CDTI","17 900","216 339 km","Diesel","Manualna","2012","Wielkopolskie"
"Opel Combo Life 1.5 CDTI Elite S&S","48 500","124 028 km","Diesel","Manualna","2018","Małopolskie"
"Opel Astra VI 1.2 T mHEV GS S&S eDTC","148 500","1 km","Hybryda","Automatyczna","2025","Wielkopolskie"
"Opel Astra 1.6 CDTI Active","26 900","156 100 km","Diesel","Manualna","2015","Małopolskie"
"Opel Meriva 1.6 Enjoy","8 900","96 000 km","Benzyna","Manualna","2004","Śląskie"
"Opel Grandland 1.2 T GS S&S","85 900","33 608 km","Benzyna","Manualna","2023","Pomorskie"
"Opel Astra V 1.4 T Enjoy S&S","54 899","87 985 km","Benzyna","Automatyczna","2018","Kujawsko-pomorskie"
"Opel Corsa 1.4 Cosmo","33 900","96 000 km","Benzyna","Manualna","2018","Śląskie"
"Opel Astra IV 1.7 CDTI Enjoy","17 999","186 000 km","Diesel","Manualna","2014","Kujawsko-pomorskie"
"Opel Astra","22 150","183 100 km","Benzyna","Manualna","2013","Dolnośląskie"
"Opel Vivaro L2H1 2.9t","38 745","287 000 km","Diesel","Manualna","2010","Świętokrzyskie"
"Opel Mokka","82 900","9 900 km","Benzyna","Manualna","2023","Śląskie"
"Opel Meriva 1.4 T Cosmo","28 500","132 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Zafira 2.0 D (CDTI) Automatik Innovation","43 500","171 000 km","Diesel","Automatyczna","2016","Małopolskie"
"Opel Mokka 1.4 T Cosmo","43 900","66 000 km","Benzyna","Automatyczna","2014","Wielkopolskie"
"Opel Astra IV 1.7 CDTI Sport","11 900","294 200 km","Diesel","Manualna","2013","Lubuskie"
"Opel Corsa","33 500","46 487 km","Benzyna","Manualna","2018","Łódzkie"
"Opel Mokka 1.4 T Cosmo","54 900","92 000 km","Benzyna","Manualna","2017","Wielkopolskie"
"Opel Astra IV 1.6 CDTI Cosmo","22 600","179 180 km","Diesel","Manualna","2015","Śląskie"
"Opel Mokka X 1.4 Automatik Innovation","47 900","196 140 km","Benzyna","Automatyczna","2017","Mazowieckie"
"Opel Grandland","162 900","2 km","Benzyna","Automatyczna","2025","Mazowieckie"
"Opel Insignia 1.6 CDTI Enjoy S&S Eco","39 900","229 000 km","Diesel","Manualna","2019","Kujawsko-pomorskie"
"Opel Grandland X 2.0 D Start/Stop Automatik Ultimate","49 900","207 000 km","Diesel","Automatyczna","2018","Mazowieckie"
"Opel Grandland X 1.6 D Start/Stop Dynamic","43 900","190 000 km","Diesel","Manualna","2017","Mazowieckie"
"Opel Astra 1.4 Turbo Start/Stop Automatik Innovation","51 500","164 000 km","Benzyna","Automatyczna","2018","Śląskie"
"Opel Insignia 2.0 CDTI Edition ecoFLEX S&S","18 500","235 000 km","Diesel","Manualna","2011","Kujawsko-pomorskie"
"Opel Astra","22 800","197 000 km","Benzyna","Manualna","2015","Wielkopolskie"
"Opel Meriva 1.4 Edition","28 700","134 008 km","Benzyna","Manualna","2015","Wielkopolskie"
"Opel Vivaro","39 800","229 730 km","Diesel","Manualna","2011","Dolnośląskie"
"Opel Astra 1.6 CDTI Sports Tourer Active","34 900","81 000 km","Diesel","Manualna","2018","Pomorskie"
"Opel Corsa 1.2 Edition","33 000","122 000 km","Benzyna","Manualna","2019","Małopolskie"
"Opel Astra IV 1.4 T Enjoy","22 990","130 000 km","Benzyna","Manualna","2010","Łódzkie"
"Opel Insignia","24 999","300 000 km","Diesel","Manualna","2014","Łódzkie"
"Opel Astra","21 777","161 898 km","Benzyna","Manualna","2012","Łódzkie"
"Opel Vivaro 1.9 CDTI L1H1","13 500","389 800 km","Diesel","Manualna","2004","Kujawsko-pomorskie"
"Opel Corsa 1.2 Edition S&S","47 900","48 164 km","Benzyna","Manualna","2022","Wielkopolskie"
"Opel Mokka 1.4 T Cosmo S&S 4x4 EU6","44 900","103 132 km","Benzyna","Manualna","2016","Wielkopolskie"
"Opel Corsa 1.2 Edition S&S","79 700","3 km","Benzyna","Manualna","2025","Małopolskie"
"Opel Insignia 1.6 CDTI Enjoy S&S","47 908","197 000 km","Diesel","Manualna","2019","Mazowieckie"
"Opel Astra 1.4 Turbo Sports Tourer Style","19 999","183 000 km","Benzyna","Manualna","2010","Śląskie"
"Opel Insignia 1.8 Active","19 900","264 000 km","Benzyna+LPG","Manualna","2009","Lubuskie"
"Opel Grandland X 1.6 CDTI Enjoy S&S","49 900","186 615 km","Diesel","Manualna","2017","Dolnośląskie"
"Opel Mokka","84 900","24 700 km","Benzyna","Manualna","2023","Pomorskie"
"Opel Mokka","44 900","84 000 km","Benzyna","Manualna","2014","Świętokrzyskie"
"Opel Astra V 1.6 CDTI Dynamic S&S","23 900","265 300 km","Diesel","Manualna","2018","Mazowieckie"
"Opel Meriva","26 900","96 000 km","Benzyna+LPG","Manualna","2014","Lubelskie"
"Opel Insignia 2.0 CDTI Sports Tourer Automatik Edition","32 900","178 000 km","Diesel","Automatyczna","2016","Podlaskie"
"Opel Astra III 1.6 Enjoy","6 900","274 000 km","Benzyna","Manualna","2004","Mazowieckie"
"Opel Mokka 1.4 T Cosmo","42 999","96 000 km","Benzyna","Manualna","2015","Małopolskie"
"Opel Corsa 1.4 16V 150 Jahre","21 900","173 000 km","Benzyna","Manualna","2013","Podkarpackie"
"Opel Insignia 2.0 CDTI Cosmo ecoFLEX S&S","19 100","247 800 km","Diesel","Manualna","2014","Wielkopolskie"
"Opel Zafira 1.8 Active","14 900","200 000 km","Benzyna","Manualna","2009","Wielkopolskie"
"Opel Mokka X 1.4 (ecoFLEX) Start/Stop 4x4 Edition","38 500","144 000 km","Benzyna","Manualna","2014","Lubelskie"
"Opel Insignia Sports Tourer 1.6 Diesel Ultimate 120 Jahre","49 900","95 000 km","Diesel","Manualna","2019","Łódzkie"
"Opel Mokka X 1.4 ECOTEC Start/Stop Design Line","47 900","67 500 km","Benzyna","Manualna","2017","Dolnośląskie"
"Opel Corsa 1.2 Direct Inj Turbo Start/Stop Automatik Edition","54 900","50 000 km","Benzyna","Automatyczna","2021","Podlaskie"
"Opel Mokka 1.6 Active S&S","42 900","92 000 km","Benzyna","Manualna","2017","Małopolskie"
"Opel Astra","18 300","148 000 km","Benzyna","Manualna","2009","Świętokrzyskie"
"Opel Insignia","49 900","154 000 km","Diesel","Automatyczna","2019","Śląskie"
"Opel Grandland X 2.0 D Start/Stop Automatik Business Innovation","49 800","219 500 km","Diesel","Automatyczna","2018","Zachodniopomorskie"
"Opel Corsa 1.2 16V Graphite","17 900","126 000 km","Benzyna","Manualna","2016","Wielkopolskie"
"Opel Crossland X","67 900","15 543 km","Benzyna","Manualna","2022","Łódzkie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Color Innovation","40 900","149 900 km","Benzyna","Manualna","2015","Pomorskie"
"Opel Astra IV 1.7 CDTI Enjoy","16 900","124 755 km","Diesel","Manualna","2011","Dolnośląskie"
"Opel Astra","29 700","197 281 km","Diesel","Manualna","2018","Pomorskie"
"Opel Zafira","45 000","131 425 km","Benzyna","Automatyczna","2017","Małopolskie"
"Opel Grandland X","66 000","35 306 km","Benzyna","Automatyczna","2017","Małopolskie"
"Opel Meriva","33 000","58 527 km","Benzyna","Manualna","2014","Pomorskie"
"Opel Corsa","15 000","146 085 km","Diesel","Manualna","2013","Małopolskie"
"Opel Corsa","48 200","66 785 km","Benzyna","Manualna","2023","Wielkopolskie"
"Opel Astra V 1.2 T Edition S&S","49 900","68 000 km","Benzyna","Manualna","2019","Małopolskie"
"Opel Mokka 1.4 T Cosmo S&S 4x4","34 900","137 000 km","Benzyna","Manualna","2013","Łódzkie"
"Opel Insignia","27 900","249 000 km","Diesel","Automatyczna","2015","Pomorskie"
"Opel Astra V 1.2 T GS Line S&S","49 900","59 000 km","Benzyna","Manualna","2021","Śląskie"
"Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Color Innovation","51 100","94 032 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Mokka","34 000","217 000 km","Diesel","Manualna","2014","Łódzkie"
"Opel Crossland X 1.2 ECOTEC Start/Stop Edition","46 900","94 603 km","Benzyna","Manualna","2021","Mazowieckie"
"Opel Zafira 2.0 CDTI Cosmo","26 999","222 000 km","Diesel","Manualna","2012","Śląskie"
"Opel Zafira","35 900","99 000 km","Benzyna","Manualna","2015","Pomorskie"
"Opel GT","85 000","25 000 km","Benzyna","Manualna","2007","Małopolskie"
"Opel Insignia 2.0 CDTI Cosmo","49 999","223 000 km","Diesel","Automatyczna","2017","Pomorskie"
"Opel Astra","54 900","136 490 km","Benzyna","Manualna","2019","Mazowieckie"
"Opel Corsa 1.2 Edition Business Pack S&S","39 900","74 000 km","Benzyna","Manualna","2021","Wielkopolskie"
"Opel Insignia 1.6 CDTI Innovation S&S Eco","58 500","120 000 km","Diesel","Manualna","2018","Kujawsko-pomorskie"
"Opel Astra II 1.6 Elegance","4 499","213 883 km","Benzyna","Manualna","1999","Pomorskie"
"Opel Corsa 1.2 Edition Business Pack S&S","35 000","124 780 km","Benzyna","Manualna","2021","Zachodniopomorskie"
"Opel Corsa 1.4 Essentia","29 900","76 508 km","Benzyna","Manualna","2015","Śląskie"
"Opel Astra","18 900","265 000 km","Benzyna","Manualna","2013","Łódzkie"
"Opel Insignia Sports Tourer 2.0 Diesel Automatik Business Edition","30 900","210 000 km","Diesel","Automatyczna","2015","Lubelskie"
"Opel Crossland","69 900","32 885 km","Benzyna","Manualna","2023","Warmińsko-mazurskie"
"Opel Astra 1.6 D (CDTI) Start/Stop Dynamic","34 999","181 000 km","Diesel","Manualna","2017","Kujawsko-pomorskie"
"Opel Corsa 1.2 GS S&S","86 500","1 km","Benzyna","Manualna","2025","Śląskie"
"Opel Frontera","110 800","234 km","Hybryda","Automatyczna","2025","Śląskie"
"Opel Antara","38 000","167 615 km","Diesel","Automatyczna","2014","Pomorskie"
"Opel Astra 1.4 Turbo Active","20 900","191 475 km","Benzyna","Manualna","2014","Warmińsko-mazurskie"
"Opel Vivaro DTI L2H1","24 800","379 000 km","Diesel","Manualna","2004","Dolnośląskie"
"Opel Astra","34 900","210 152 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Insignia 2.0 CDTI Cosmo","16 499","287 445 km","Diesel","Manualna","2011","Małopolskie"
