"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Vivaro 2.0 BlueHDi 145 Standard Flexcab","29 999","290 000 km","Diesel","Manualna","2022","Mazowieckie"
"Opel Insignia 2.0 CDTI Cosmo S&S","42 222","159 000 km","Diesel","Manualna","2017","Łódzkie"
"Opel Astra IV 1.4 T Essentia","21 900","179 000 km","Benzyna","Manualna","2011","Małopolskie"
"Opel Meriva 1.4 ecoflex Active","19 000","151 000 km","Benzyna","Manualna","2014","Wielkopolskie"
"Opel Crossland X","44 900","190 000 km","Benzyna","Manualna","2018","Opolskie"
"Opel Mokka X 1.4 T Ultimate S&S","39 999","179 000 km","Benzyna","Manualna","2015","Śląskie"
"Opel Zafira","15 900","198 000 km","Benzyna","Manualna","2013","Dolnośląskie"
"Opel Insignia Sports Tourer 2.0 Diesel Exclusive","56 999","194 070 km","Diesel","Manualna","2018","Opolskie"
"Opel Insignia 2.0 CDTI Cosmo","16 999","280 000 km","Diesel","Manualna","2009","Kujawsko-pomorskie"
"Opel Meriva","19 999","126 827 km","Diesel","Manualna","2012","Wielkopolskie"
"Opel Mokka X 1.4 Automatik Active","47 900","139 000 km","Benzyna","Automatyczna","2017","Łódzkie"
"Opel Corsa 1.4 16V Cosmo","28 400","167 000 km","Benzyna","Manualna","2015","Podkarpackie"
"Opel Astra V 1.6 CDTI Dynamic","35 500","85 000 km","Diesel","Manualna","2016","Małopolskie"
"Opel Corsa 1.2 Direct Injection Turbo Start/Stop Edition","46 500","22 180 km","Benzyna","Manualna","2024","Kujawsko-pomorskie"
"Opel Vivaro","10 000","245 000 km","Diesel","Manualna","2014","Dolnośląskie"
"Opel Mokka","36 950","210 000 km","Benzyna","Manualna","2016","Łódzkie"
"Opel Mokka 1.6 CDTI Cosmo S&S 4x4","39 900","156 021 km","Diesel","Manualna","2017","Dolnośląskie"
"Opel Astra V 1.6 CDTI Dynamic","33 000","175 403 km","Diesel","Manualna","2018","Wielkopolskie"
"Opel Mokka 1.6 CDTI Cosmo S&S","29 900","200 000 km","Diesel","Manualna","2016","Małopolskie"
"Opel Insignia 2.0 CDTI Ultimate S&S","58 800","146 000 km","Diesel","Manualna","2020","Mazowieckie"
